walk_key,path_key,factor_key,family,variant,selection_horizon,selection_evidence,selection_pattern,method,portfolio_type,beta_neutral,rebalance_days,calendar_offset,phase_count,successful_rebalances,skipped_rebalances,beta_neutral_attempts,beta_neutral_success_rate,walk_forward_scheme,period_id,train_start,train_end,oos_start,oos_end,calendar_complete,expected_oos_observations,orientation_selected_in_training,complete_oos_period,train_observations,train_annualized_return,train_sharpe,train_mean_daily_return,oos_observations,oos_annualized_return,oos_sharpe,oos_mean_daily_return
short|liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,-1,True,377,0.006950192573943692,0.15846801631359494,3.290175311162818e-05,127,-0.0663334798272307,-0.7649898943499728,-0.00025810838686158796
short|liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,5,ensemble,3,836.3333333333334,0.0,0.0,,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,-1,True,377,0.01175972025152694,0.25150740801732974,5.1705192845171195e-05,127,-0.05391581151689262,-0.642411743902272,-0.00020694541261393815
short|liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,21,ensemble,3,199.33333333333334,0.0,0.0,,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,-1,True,377,0.024289609708673776,0.5159034030463802,9.995788036023158e-05,127,-0.04526540958374925,-0.597959512577403,-0.0001733023626203435
short|liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,63,ensemble,3,66.33333333333333,0.0,0.0,,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,-1,True,377,0.05176151779123095,1.2727170021271632,0.000203494537137768,127,0.05235526288854708,0.7312729420362689,0.0002131399393299406
short|liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r1|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r1|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,True,1,ensemble,1,4181.0,0.0,4181.0,1.0,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,-1,True,377,-0.030836755921208825,-0.6317256857493511,-0.00011977009204959462,127,-0.12691818265280397,-2.3878147070199804,-0.0005322398172135606
short|liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r5|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r5|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,True,5,ensemble,3,836.3333333333334,0.0,836.3333333333334,1.0,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,-1,True,377,-0.0202074803616501,-0.40102460936149087,-7.644116892941146e-05,127,-0.11156052521506377,-2.160148740206909,-0.0004635332523733149
short|liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r21|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r21|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,True,21,ensemble,3,199.33333333333334,0.0,199.33333333333334,1.0,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,-1,True,377,-0.010098837330701493,-0.20154056195313488,-3.6218797157466506e-05,127,-0.08840895777696678,-1.8155795500890246,-0.00036227137390713464
short|liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r63|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r63|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,True,63,ensemble,3,66.33333333333333,0.0,66.33333333333333,1.0,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,-1,True,377,0.029360533386230125,0.7732595648923032,0.00011775198754523495,127,-0.012715920329832264,-0.24235271795091248,-4.6234841955456124e-05
short|liquidity_change|liq_20d_252d|long_q1|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d|long_q1|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,long_q1,long_only,False,1,ensemble,1,4181.0,0.0,0.0,,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,1,True,377,0.177932989438649,0.9371810337510508,0.0007241655554097513,127,-0.15610018726889008,-0.2036323163432352,-0.0003343426738062122
short|liquidity_change|liq_20d_252d|long_q1|unconstrained_beta|r5|ensemble,liquidity_change|liq_20d_252d|long_q1|unconstrained_beta|r5|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,long_q1,long_only,False,5,ensemble,3,836.3333333333334,0.0,0.0,,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,1,True,377,0.16836122282109356,0.899645211789762,0.0006907924234150095,127,-0.1624521875114422,-0.22834956552816732,-0.0003711293097560155
